"X","PLOT_ID","期数","副总体","样地号","新样地号","市","县","省","x","y","经度_F","纬度_F","针叶","阔叶","sz1","psz1","sz2","psz2","sz3","psz3","硬阔","软阔","森林类型65","二级森林类型65","样地面积","Dmax","Dmin","Dg","N_ha","AGE","BA","V_ha","S","aSDI","bio_plot","Bio","Car_1_plot","Car_1_ha","Car_2_plot","Car_2_ha","Car_3_plot","Car_3_ha","起源","优势树种","龄组","平均胸径","H","郁闭度","地貌","海拔","坡向","坡位","坡度","土壤名称","土层厚度","腐殖层","枯枝落叶","地类","样地类别","林种","植被类型","森林群落","林层结构","树种结构","自然度","可及度","经营等级","灾害类型","活立蓄积","林木蓄积","散生蓄积","四旁蓄积","枯损蓄积","采伐蓄积","name","分区","Plot","ID","code"
18983,6100005337,9,6100,5337,"5337",6109,610923,61,19276012,3676010,108.512363925,33.1844896374,9,91,410,51,490,39,130,6,91,0,"阔叶混","栎类阔叶混",0.08,60.6,5,23.0639283658848,1200,45,50.1346154884606,338.05,1508.46771016429,1360.16865820465,37959.6587984614,474.495734980767,21701.9878380126,271274.847975157,18237.0223083167,227962.778853959,18239.4374594705,227992.968243381,11,620,3,230,11.9,55,3,1680,7,2,43,113,18,2,3,111,11,111,121,2,0,7,2,0,0,0,27.044,27.044,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",1,6100005337,1
17309,410001607,9,410,1607,"1607",4103,410324,41,19528076,3739958,111.303143992,33.785929971,0,100,410,51,490,23,420,18,92,8,"阔叶混","栎类阔叶混",0.08,71,5.1,20.4518054906184,1438,42,47.2238120851851,301.4125,1490.49336515572,1298.88121578965,35560.551986489,444.506899831113,19949.8668050113,249373.335062641,17074.9584829975,213436.981037469,17075.3993013151,213442.491266438,13,620,2,205,16.7,94,3,1660,2,2,40,113,40,4,7,111,11,112,121,1,0,7,3,0,0,0,24.113,24.113,0,0,0.009,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",2,410001607,1
7538,6100005337,7,6100,5337,"5337",6109,610923,61,19276012,3676010,108.512363925,33.1844896374,5,95,410,64,490,24,590,7,88,7,"阔叶混","栎类阔叶混",0.08,57.1,5.6,23.106020909001,1112,35,46.6487730023767,315.0875,1401.94355755525,1290.03259745328,34869.9264652713,435.874080815891,19837.7694097941,247972.117622427,16734.6454851544,209183.06856443,16738.6617746186,209233.272182732,11,490,2,163,11,70,3,1680,7,2,43,112,18,2,3,111,11,111,121,2,0,2,4,0,0,0,25.207,25.207,0,0,0,0.376,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",3,6100005337,1
12948,6100005337,8,6100,5337,"5337",6109,610923,61,19276012,3676010,108.512363925,33.1844896374,10,90,410,50,490,39,130,7,90,0,"阔叶混","栎类阔叶混",0.08,57.6,5.9,24.1674515471887,962,40,44.1521984079541,301.7875,1303.48924976455,1196.3042220054,33272.7811555936,415.90976444492,19021.2309033852,237765.386292316,15985.0436530511,199813.045663139,15987.0947751064,199838.68468883,11,490,2,168,12.8,50,3,1680,7,2,43,112,18,2,3,111,11,111,121,2,0,2,2,0,0,0,24.143,24.143,0,0,4.145,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",4,6100005337,1
11446,410001607,8,410,1607,"1607",4103,410324,41,19528076,3739958,111.303143992,33.785929971,0,100,410,55,490,21,420,18,94,6,"阔叶混","栎类阔叶混",0.08,70.1,5,19.8986606897979,1362,38,42.3715240569453,270.175,1350.94055155936,1167.67527586441,32031.4001117051,400.392501396313,17974.7852535693,224684.815669617,15384.1839857783,192302.299822229,15384.4262130248,192305.32766281,13,620,2,199,15.2,94,3,1660,2,2,40,112,40,4,10,111,11,112,121,1,0,7,3,0,0,0,21.614,21.614,0,0,0.097,0.179,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",5,410001607,1
13540,6220002848,8,6220,2848,"2848",6205,620503,62,18638031,3801967,106.435257762,34.3364454805,9,91,410,47,490,31,510,10,78,13,"阔叶混","栎类阔叶混",0.08,39.4,6.4,19.2253953753396,1738,88,50.4388591020067,298.25,1631.23470790661,1547.71944750064,31620.0211216808,395.25026402101,17809.8064315498,222622.580394373,15164.0390499271,189550.488124088,15162.5322556489,189531.653195612,11,620,4,196,11.2,80,3,1578,8,2,40,122,31,4,3,111,11,112,121,1,0,7,3,1,0,12,23.86,23.86,0,0,0.026,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",6,6220002848,1
12878,6100004737,8,6100,4737,"4737",6109,610923,61,19276082,3716043,108.437625135,33.5436321682,8,92,410,62,490,25,210,8,87,5,"阔叶混","栎类阔叶混",0.08,66.2,5.2,20.6826995941052,1200,50,40.3167555643878,270.1625,1266.4198167083,1106.03900087943,31313.9709915194,391.424637393992,17850.8029260245,223135.036575307,15065.7034389668,188321.292987085,15063.6334471535,188295.418089418,11,410,3,304,15.7,60,3,1600,3,2,42,112,25,2,3,111,11,111,121,1,0,7,4,0,0,0,21.613,21.613,0,0,0.036,0.324,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",7,6100004737,1
13504,6220002793,8,6220,2793,"2793",6205,620503,62,18635026,3807927,106.434303681,34.3907824987,2,98,410,45,490,45,590,6,90,8,"阔叶混","栎类阔叶混",0.08,53.1,5.3,24.455090457313,862,65,40.512358976982,266.9,1190.3832489961,1097.14002655806,31202.4802525418,390.031003156772,17794.1212063296,222426.51507912,14959.5043746632,186993.80468329,14963.4985862683,187043.732328354,11,620,3,243,16.9,60,3,1825,7,4,41,112,45,3,2,111,11,112,121,1,0,7,3,1,0,12,21.352,19.714,1.638,0,0.323,0.067,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",8,6220002793,1
6164,410001607,7,410,1607,"1607",4103,410324,41,19528076,3739958,111.303143992,33.785929971,0,100,410,56,490,41,510,3,97,3,"阔叶混","栎类阔叶混",0.08,70,5.4,19.0594555021044,1362,35,38.8729384856602,246.2125,1260.66965716327,1082.51560561382,31167.1901633663,389.589877042079,17913.2947925196,223916.184906495,14944.3188243841,186803.985304801,14949.2017799187,186865.022248984,13,620,2,191,14.4,90,3,1660,2,2,40,112,35,2,2,111,11,112,121,1,0,7,3,0,0,0,19.697,19.697,0,0,0.46,0.089,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",9,410001607,1
13575,6220002894,8,6220,2894,"2894",6205,620503,62,18615041,3795932,106.249382515,34.2845522746,0,100,410,56,490,35,510,6,91,9,"阔叶混","栎类阔叶混",0.08,43.3,5,21.9982716603818,1138,74,43.2333021917331,271.3125,1325.93660193116,1244.18614957226,30523.091040687,381.538638008587,17359.0827375714,216988.534219642,14590.338721999,182379.234024987,14595.9673129079,182449.591411348,11,620,3,219,14.3,60,3,1834,6,3,35,122,40,3,3,111,11,127,121,2,0,7,2,2,0,0,21.705,21.705,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",10,6220002894,1
18945,6100004915,9,6100,4915,"4915",6109,610923,61,19255986,3703955,108.470225383,33.435331617,22,78,410,51,210,22,510,15,63,15,"阔叶混","栎类阔叶混",0.08,76,5,20.3671099242545,1350,68,43.9827585716781,288.1875,1389.99207534837,1249.37257609844,30205.7382331744,377.57172791468,16746.4487144311,209330.608930389,14567.9197276937,182098.996596171,14554.5943080761,181932.428850952,11,620,5,227,16.7,75,3,1790,4,3,30,111,35,8,5,111,11,111,121,1,0,7,2,0,0,12,23.055,23.055,0,0,0.207,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",11,6100004915,1
